,companycode,companyname,companysource,meituanid,provincename,cityname,postalname,companyaddress,longitude,latitude,destinephone,shopphonenum,confirmstatus,updatedate,ismatched
0,160,AIGOGO自助量贩KTV（丰臣店）,美团,2436588,江苏省,常州市,新北区, 新北区通江中路108号丰臣国际广场时尚城6楼（万达北100米）,119.97202,31.820601, 0519-85855758,4,确定,2020/7/28,
1,162,星音悦KTV（梅村店）,美团,1873225,江苏省,无锡市,新吴区,新吴区新友路8号五洲国际广场3栋3楼 ,120.443319,31.545487,0510-66055777,3,确定,2020/8/19,
2,186,BINGO缤果KTV,美团,164117502,福建省,福州市,福清市,福建省福清市中环路1号中环广场4楼,119.366577651041,25.7183034188245,0591-85207888,3,确定,2020/7/22,
3,191,维也纳KTV,,1688311577,吉林,白山,市辖区,吉林白山市 八道江区浑江大街汇宝名郡三期,"126.441717,41.947689",42.045395,0439-6977888,1,确定,2020.8.7,
4,227,音悦汇量贩KTV,美团,1631374847,安徽省,合肥市,高新区, 高新区杭埠路与长安路交口,117.171672,31.807838, 0551-65333176,0,确定,2020/7/30,
5,230,欢乐迪萌秀KTV（三峡广场重师店）,美团,1113337,重庆,重庆,沙坪坝区,重庆省重庆 沙坪坝区天陈路12号重庆师范大学学术交流中心商业楼4楼（重师大门旁） ,106.459189,29.555743,023-65313666,5,确定,2020.7.28,是
6,231,钱汇量贩式KTV,美团,4147609,湖北市,荆门市,东宝区,湖北市荆门市东宝区象山大道66号加洲公寓5楼 ,112.199891,31.028582,0724-6088088,0,确定,2020/7/29,
7,234,新概念KTV,美团,184196201,湖北省,襄阳市,谷城县,湖北省襄阳市谷城县城关镇谷丰路10号 ,111.629355,32.259551,0710-7265333||0710-7265111,0,确定,2020/8/11,
8,236,大唐盛世音乐会所,美团,1227906492,安徽省,芜湖市,无为市,无为市大唐盛世音乐会所九州广场店 ,117.915011,31.302251,18511992210||17756558277,0,确定,2020/8/19,
9,237,酷爱KTV量贩,美团,1926086,陕西省,西安市,莲湖区,陕西省西安市莲湖区西大街桥梓口369号上海城B1楼 ,108.932261,34.259797,029-62821111,4,确定,2020/8/21,
10,239,活力无限KTV（南庄吉利购物广场店）,美团,2371608,广东,佛山,禅城区,广东省佛山市禅城区南庄镇吉利购物广场五楼活力无限KTV,113.10723066,23.03165084,0757-82133393,1,确定,7.29,
11,244,好声音·唱响纯K（学院店）,美团,195119895,江西省,宜春市,袁州区,江西省宜春市袁州区桥背路宜春学院东大门旁（学生街好声音学院店旁） ,115.389671,28.436069,18907958143,3,确定,2020/8/12,
12,250,迪卡乐KTV（老福山店）,美团,1517786,江西省,南昌市,西湖区,江西省南昌市西湖区站前路168号 ,115.911860,28.662523,0791-86567999,0,确定,2020/8/3,
13,254,欧啦啦歌城KTV,美团,2207438,湖南省,株洲市,荷塘区,湖南省株洲市荷塘区新华西路新伟大国际5楼（株百5楼） ,113.170821,27.853852,0731-22366666||0731-22365555,3,确定,2020/8/18,
14,260,新世界KTV,美团,2021749,山西,长治,潞州区,山西省长治潞州区府后西街海阔天空旁（近客运中心） ,113.096443,36.196802,0355-8922222,1,确定,2020/8/24,
15,270,红磨房KTV,美团,2408747,河北省,廊坊市,三河市,河北省廊坊市三河市燕顺路401号（京东国济医院北行50米） ,116.776411,39.982241,0316-5757888,1,确定,2020/7/30,
16,272,七星歌虫量贩式KTV,美团,1554250,广西,南宁,江南区,江南区白沙大道亭江路73号美晚酒店1-4楼 ,108.322859,22.786,0771-4925588,0,确定,8.1,
17,273,音乐小屋量贩KTV,美团,1532284,陕西省,西安市,碑林区,陕西省西安市碑林区劳卫路1号西荷花园美食街凯旋城3楼（太白路立交东北角） ,108.927887,34.235258,029-85568885,1,确定,2020/8/21,
18,274,音乐一百度KTV（六一店）,美团,1043184,福建省,福州市,鼓楼区,福建省福州市鼓楼区六一北路565号天创佳缘3楼（六一环岛旁）,119.319126032613,26.0792760587951,0591-88358888,4,确定,2020/7/22,
19,275,乐尚KTV量贩（云山路店）,美团,2658167,云南,昆明,西山区,云南昆明 西山区云山路云善时尚广场3-5楼 ,102.670567,25.038473,0871-63636666,1,确定,2020.8.10,是
20,276,新麦客量贩式KTV（星沙二店）,美团,1555220,湖南省,长沙市,长沙县,湖南省长沙市长沙县星沙大道商业乐园A栋401室 ,113.083977,28.245289,0731-84072505||4000731321,3,确定,2020/8/14,
21,277,艾·麦可风尚视听歌城（百脑汇店）,美团,1577259,安徽省,合肥市,包河区, 包河区金寨路136号乐城超市5楼（近绩溪路口） ,117.271764,31.844788, 0551-65539198||4001635188,1,确定,2020/7/30,
22,278,麦秀量贩KTV,美团,1549596,江苏省,苏州市,吴中区,吴中区东吴北路181号双冠南门商业广场A幢3楼（地铁4号线团结桥4号出口） ,120.62675,31.27663,0512-68550000,0,确定,2020/8/12,
23,280,欣星河量贩KTV,美团,178871371,河南省,驻马店市,西平县,河南省驻马店市西平县解放路梁师傅猪蹄叫花鸡南60米 ,114.020074,33.379759,0396-3535666,1,确定,2020/8/18,
24,285,海豚音氧吧量贩式KTV（双龙店）,美团,1541234,广东,深圳,龙岗区,龙岗区龙岗区龙平东路人人购物广场五楼,114.273921,",22.729267",0755-89913888,0,确定,8.14,
25,286,米兰本色,美团,2562640,安徽省,宣城市,宣州区,宣州区陵西路105号 ,118.751482,30.946062,0563-5201111,1,确定,2020/8/20,
26,288,海乐星量贩KTV（SM广场店）,美团,1547655,四川,成都,成华区,四川成都 成华区二环路东二段29号SM广场4楼（建设路口） ,104.1127,30.668316,028-65123777,3,确定,2020.8.14,是
27,289,好乐迪（胜利路店）,美团,6762289,安徽省,蚌埠市,蚌山区, 蚌山区胜利东路大统华超市三楼,117.374636,32.939254, 0552-2879666,1,确定,2020/7/27,
28,298,ABC红茶坊（集贤南路店）,美团,5240029,安徽省,安庆市,大观区,大观区集贤南路宏祥山庄1-2楼,117.044536,30.527408,0556-8726688,0,确定,2020/7/27,
29,301,乐皇量贩KTV,美团,1573567,湖南省,长沙市,岳麓区,湖南省长沙市岳麓区桐梓坡路长房时代城24栋2楼（近人人乐超市） ,112.909581,28.219242,0731-82991818||0731-89780808,3,确定,2020/8/14,
30,304,金悦酒店KTV,美团,2720374,广东,揭阳,榕城区,榕城区望江北路以北上义下八座七、八号,116.37356,23.52733,0663-8077555,3,确定,8.7,
31,305,足上煌CEO养生会所（习友路三店）,美团,175372373,安徽省,合肥市,蜀山区, 蜀山区合肥习友路与香樟大道交口香御公馆2栋商301 ,117.193282,31.814636,0551-63352588,2,确定,2020/7/30,
32,307,豪门娱乐会所,美团,2672137,安徽省,蚌埠市,龙子湖区, 龙子湖区淮河路545号（火车站东100米）,117.381211,32.943732, 0552-3089888,1,确定,2020/7/27,
33,308,KK金氧吧KTV,美团,5037955,福建省,南平市,延平区,福建省南平市延平区江滨路商业城黄金中心大厦4楼,118.188555,26.643644,0599-8483333||0599-8832222,4,确定,2020/7/22,
34,311,星聚星KTV,美团,1267838,山东省,东营市,东营区, 东营区北一路与西三路交汇处（西三路146号）,118.5058,37.457751,0546-8716666,5,确定,2020/7/29,
35,313,和天皇家会所,美团,6964029,湖南省,张家界,永定区,湖南省张家界永定区子午路133号凤湾欣业苑旁 ,110.487975,29.132998,0744-8888798,0,确定,,
36,315,天籁·体验式KTV,美团,2505508,河北省,邢台市,桥东区,河北省邢台市桥东区车站南路155号（火车站） ,114.491480,37.064254,0319-5915555,4,确定,2020/8/12,
37,323,同一首歌,美团,6049511,福建省,南平市,建阳区,福建省南平市建阳区民主北路14号2层,118.131246,27.336115,0599-5839999||0599-5833888,1,确定,2020/7/22,
38,325,芒果KTV（逍遥津店）,美团,2131289,安徽省,合肥市,庐阳区, 庐阳区华谊大厦95号3楼（逍遥津南大门，百盛商场北侧）,117.294776,31.865329, 0551-62659399,3,确定,2020/7/30,
39,326,魅力钱柜KTV（西关大街店）,美团,4384806,安徽省,宿州市,埇桥区,埇桥区西关大街西关街步行街A1# ,116.972461,33.637922,0557-3166666||0557-3188888,0,确定,2020/8/19,
